종류,코드,상품명,위험등급,취급시작,취급종료,판매,매칭,SEIBro확인,정식펀드명(SEIBro),SEIBro이름대조,협회표준코드,협회단축코드,KOFIA펀드명,KOFIA이름대조,대조결과,확인필요
펀드,KRZ500132942,칸서스하베스트증권자투자신탁1호(주식) Class A-1,2,,,,matched,,,,KR5233461478,,,,,
펀드,KRZ500243383,미래에셋아시아퍼시픽소비성장증권자투자신탁1호(주식) 종류I,2,,,,matched,,,,KR5227573478,,,,,
펀드,KRZ500144073,IBK 밸류 코리아 증권 자투자신탁 1호[주식] 종류C,2,,,,matched,,,,KR5234472664,,,,,
펀드,KRZ500326231,키움슈로더유로증권자투자신탁[주식-재간접형] Class A,2,,,,matched,,,,KR5230659504,,,,,
펀드,KRZ500397357,한화러시아증권 자투자신탁(주식-재간접형) C - E 클래스,1,,,,matched,,,,KR5237737592,,,,,
펀드,KRZ500343104,하나 China 증권 자투자신탁(제1호)[주식] 종류C1,2,,,,matched,,,,KR5102676958,,,,,
펀드,KRZ500075012,하나 엄브렐러뉴인덱스 증권투자신탁(K-1호)[주식-파생형] 종류 C-E,2,,,,matched,,,,KR5102393562,,,,,
펀드,KRZ500052404,하나 코리아배당증권투자신탁(제1호)[주식] 종류C1,2,,,,matched,,,,KR5102371600,,,,,
펀드,KRZ500053643,하나 그레이터코리아증권자투자신탁[주식] 종류 A,2,,,,matched,,,,KR5102242579,,,,,
펀드,KRZ500350573,하나 꿈나무증권자투자신탁(주식) 종류C1,2,,,,matched,,,,KR5102684622,,,,,
펀드,KRZ500334721,하나 장기주택마련 증권투자신탁(제1호)[주식] Class A,2,,,,matched,,,,KR5102668229,,,,,
펀드,KRZ500350233,하나IT코리아증권자투자신탁(제1호)[주식] 종류C1,2,,,,matched,,,,KR5102684143,,,,,
펀드,KRZ500052402,하나 코리아배당증권투자신탁(제1호)[주식] 종류 A,2,,,,matched,,,,KR5102371600,,,,,
펀드,KRZ500390142,하나라이프싸이클2030 증권 자투자신탁(제1호) [주식혼합] Class C,4,,,,matched,,,,KR5102728510,,,,,
펀드,KRZ500388453,하나코리아증권자투자신탁(제2호)[주식] 종류 C-E,2,,,,matched,,,,KR5102726902,,,,,
펀드,KRZ500390133,하나라이프싸이클2020 증권 자투자신탁(제1호) [채권혼합] Class C-E,4,,,,matched,,,,KR5102728494,,,,,
