종류,코드,상품명,위험등급,취급시작,취급종료,판매,매칭,SEIBro확인,정식펀드명(SEIBro),SEIBro이름대조,협회표준코드,협회단축코드,KOFIA펀드명,KOFIA이름대조,대조결과,확인필요
펀드,KRZ50145687D,교보악사위대한중소형밸류증권자투자신탁1호(주식)C-Re(퇴직연금),—,2018-11-21,∞,Y,미매칭,존재,교보악사위대한중소형밸류증권자투자신탁1호(주식)ClassC-Re(퇴직연금),일치(정규화),K55207C30979,C3097,교보악사위대한중소형밸류증권자투자신탁1호(주식)ClassC-Re(퇴직연금),일치(정규화),matched,
펀드,KRZ50158858K,카디안차이나드래곤Ashare증권자투자신탁(H)[주식]C-P(퇴직연금)E,—,2018-11-21,∞,Y,미매칭,존재,카디안 차이나드래곤AShare증권자투자신탁(H)[주식] 클래스C-P(퇴직연금)E,일치(정규화),K55229BU7300,BU730,카디안 차이나드래곤AShare증권자투자신탁(H)[주식] 클래스 C-P(퇴직연금)E,일치(정규화),matched,
펀드,KRZ50220605A,키움글로벌차세대IT&네트워크증권자투자신탁(H)[주식]C-P2e,—,2019-12-04,∞,Y,미매칭,존재,키움글로벌차세대IT&네트워크증권자투자신탁(H)[주식]Class C-P2e(퇴직연금),일치(정규화),K55206C22200,C2220,키움글로벌차세대IT&네트워크증권자투자신탁(H)[주식] Class C-P2e(퇴직연금),일치(정규화),matched,
펀드,KRZ50220609A,키움글로벌차세대IT&네트워크증권자투자신탁(UH)[주식]C-P2e,—,2019-12-04,∞,Y,미매칭,존재,키움글로벌차세대IT&네트워크증권자투자신탁(UH)[주식] Class C-P2e(퇴직연금),일치(정규화),K55206C22408,C2240,키움글로벌차세대IT&네트워크증권자투자신탁(UH)[주식] C-P2e(퇴직연금),일치(정규화),matched_marker,Y
펀드,KRZ50204950J,KCGI차이나증권투자신탁(주식)C-Pe2,—,2020-07-23,∞,Y,미매칭,존재,KCGI차이나증권투자신탁[주식]종류C-Pe2,일치(정규화),K55365BT3678,BT367,KCGI차이나증권투자신탁[주식]종류C-Pe2,일치(정규화),matched,
펀드,KRZ50205555H,한국투자웰링턴글로벌퀄리티증권자투자신탁H(주식)(C-Re),—,2020-08-14,∞,Y,미매칭,존재,한국투자웰링턴글로벌퀄리티증권자투자신탁H(주식) 종류 C-Re,일치(정규화),K55101BT4337,BT433,한국투자웰링턴글로벌퀄리티증권자투자신탁H(주식)(C-Re),일치(정규화),matched_marker,Y
펀드,KRZ50205558H,한국투자웰링턴글로벌퀄리티증권자투자신탁UH(주식)(C-Re),—,2020-08-14,∞,Y,미매칭,존재,한국투자웰링턴글로벌퀄리티증권자투자신탁UH(주식) 종류 C-Re,일치(정규화),K55101BT4360,BT436,한국투자웰링턴글로벌퀄리티증권자투자신탁UH(주식)(C-Re),일치(정규화),matched_marker,Y
펀드,KRZ50240456A,키움글로벌구독경제증권자투자신탁(H)[주식]C-P2e,—,2020-10-20,∞,Y,미매칭,존재,키움글로벌구독경제증권자투자신탁(H)[주식] Class C-P2e(퇴직연금),일치(정규화),K55206D33338,D3333,키움글로벌구독경제증권자투자신탁(H)[주식] Class C-P2e(퇴직연금),일치(정규화),matched,
펀드,KRZ50240457A,키움글로벌구독경제증권자투자신탁(UH)[주식]C-P2e,—,2020-10-20,∞,Y,미매칭,존재,키움글로벌구독경제증권자투자신탁(UH)[주식] Class C-P2e(퇴직연금),일치(정규화),K55206D33494,D3349,키움글로벌구독경제증권자투자신탁(UH)[주식] Class C-P2e(퇴직연금),일치(정규화),matched,
펀드,KRZ50224240C,NH-Amundi필승코리아증권투자신탁[주식]C-P2e,—,2020-10-20,∞,Y,미매칭,존재,NH-Amundi 필승 코리아 증권투자신탁[주식] Class C-P2e(퇴직연금),일치(정규화),K55232C99584,C9958,NH-Amundi 필승 코리아 증권투자신탁[주식] Class C-P2e(퇴직연금),일치(정규화),matched,
펀드,KRZ50241454C,한화글로벌테크히어로증권자투자신탁(H)(주식)C-RPe,—,2020-10-26,∞,Y,미매칭,존재,한화 글로벌테크히어로증권 자투자신탁(H)(주식) C-RPe(퇴직연금),일치(정규화),K55213D57630,D5763,한화글로벌테크히어로증권 자투자신탁(H)(주식) C-RPe(퇴직연금),일치(정규화),matched,
펀드,KRZ50243344E,KB코리아뉴웨이브증권투자신탁(주식)C-퇴직e,—,2020-10-21,∞,Y,미매칭,존재,KB 코리아 뉴웨이브 증권 투자신탁(주식) C-퇴직e,일치(정규화),K55223DB1045,DB104,KB 코리아 뉴웨이브 증권 투자신탁(주식) C-퇴직e,일치(정규화),matched,
펀드,KRZ50214078E,다올글로벌빅테크1등주증권투자신탁[주식]CPe,—,2020-12-21,∞,Y,미매칭,존재,다올글로벌빅테크1등주증권투자신탁[주식] 종류CPe,일치(정규화),K55306BT9487,BT948,다올글로벌빅테크1등주증권투자신탁[주식] 종류CPe,일치(정규화),matched,
펀드,KRZ50113223D,우리지속가능ESG증권자투자신탁1호(주식)C-Pe,—,2020-12-28,∞,Y,미매칭,존재,우리지속가능ESG증권자투자신탁1호(주식)ClassC-Pe,일치(정규화),K55107C49906,C4990,우리지속가능ESG증권자투자신탁1호(주식)ClassC-Pe,일치(정규화),matched,
펀드,KRZ50218031J,한국투자글로벌전기차&자율주행증권투자신탁(주식)C-Re,—,2021-01-13,∞,Y,미매칭,존재,한국투자글로벌전기차&자율주행증권투자신탁(주식) 종류 C-Re,일치(정규화),K55101CA2695,CA269,한국투자글로벌전기차&자율주행증권투자신탁(주식)(C-Re),일치(정규화),matched_marker,Y
펀드,KRZ50242952C,NH-Amundi100년기업그린코리아증권투자신탁[주식]C-P2e,—,2021-02-05,∞,Y,미매칭,존재,NH-Amundi 100년 기업 그린 코리아 증권투자신탁[주식] Class C-P2e(퇴직연금),일치(정규화),K55232D64560,D6456,NH-Amundi 100년 기업 그린 코리아 증권투자신탁[주식] Class C-P2e(퇴직연금),일치(정규화),matched,
펀드,KRZ50218019G,미래에셋글로벌혁신기업ESG증권자투자신탁(주식)C-P2e,—,2021-02-05,∞,Y,미매칭,존재,미래에셋글로벌혁신기업ESG증권자투자신탁(주식)종류C-P2e,일치(정규화),K55301BY4585,BY458,미래에셋글로벌혁신기업ESG증권자투자신탁(주식) 종류C-P2e,일치(정규화),matched,
펀드,KRZ50170134F,키움차세대모빌리티증권자투자신탁제1호[주식]C-P2e,—,2021-02-05,∞,Y,미매칭,존재,키움 차세대모빌리티 증권 자투자신탁 제1호[주식] Class C-P2e(퇴직연금),일치(정규화),K55206DD2638,DD263,키움차세대모빌리티증권자투자신탁제1호[주식]C-P2e(퇴직연금),일치(정규화),matched_marker,Y
펀드,KRZ50137184E,키움퓨처에너지증권투자신탁제1호[주식]C-P2e,—,2021-02-05,∞,Y,미매칭,존재,키움 퓨처에너지 증권 투자신탁 제1호[주식] Class C-P2e(퇴직연금),일치(정규화),K55206DF8823,DF882,키움 퓨처에너지 증권 투자신탁 제1호[주식] C-P2e(퇴직연금),일치(정규화),matched_marker,Y
펀드,KRZ50222312G,NH-Amundi글로벌혁신기업증권자투자신탁(H)[주식]C-P2e,—,2021-03-04,∞,Y,미매칭,존재,NH-Amundi 글로벌 혁신기업 증권자투자신탁(H)[주식] Class C-P2e(퇴직연금),일치(정규화),K55232DA8800,DA880,NH-Amundi 글로벌 혁신기업 증권자투자신탁(H)[주식] Class C-P2e(퇴직연금),일치(정규화),matched,
펀드,KRZ50198067E,마이다스아시아리더스성장주증권자투자신탁(H)[주식]C-Pe2,—,2021-03-04,∞,Y,미매칭,존재,마이다스 아시아 리더스 성장주 증권 자투자신탁(H)(주식) C-Pe2클래스,일치(정규화),K55303CR9044,CR904,마이다스 아시아 리더스 성장주 증권 자투자신탁(H)(주식) C-Pe2,일치(정규화),matched_marker,Y
펀드,KRZ50243485B,한화그린히어로증권자투자신탁[주식]C-RPe,—,2021-03-04,∞,Y,미매칭,존재,한화그린히어로증권 자투자신탁(주식) C-RPe(퇴직연금),일치(정규화),K55213DB6004,DB600,한화그린히어로증권 자투자신탁(주식) C-RPe(퇴직연금),일치(정규화),matched,
펀드,KRZ50239167A,우리아티잰글로벌그로스증권자투자신탁[주식_재간접형](H)Pe1,—,2021-03-19,∞,Y,미매칭,존재,우리 아티잰글로벌그로스증권자투자신탁[주식_재간접형](H)_Class Pe1,일치(정규화),K55228CZ2298,CZ229,우리 아티잰글로벌그로스증권자투자신탁[주식_재간접형](H)_Class Pe1,일치(정규화),matched,
펀드,KRZ50126358E,우리나라기업가치향상증권자투자신탁[주식]Pe1,—,2021-03-19,∞,Y,미매칭,존재,우리나라기업가치향상증권자투자신탁[주식] Class Pe1,일치(정규화),K55228D94508,D9450,우리나라기업가치향상증권자투자신탁[주식] Class Pe1,일치(정규화),matched,
펀드,KRZ50152904E,우리코리아ESG증권자투자신탁[주식]Pe1,—,2021-03-19,∞,Y,미매칭,존재,우리 코리아ESG 증권자투자신탁[주식] Class Pe1,일치(정규화),K55228DC7509,DC750,우리 코리아ESG 증권자투자신탁[주식] Class Pe1,일치(정규화),matched,
펀드,KRZ50202119H,키움글로벌코어밸류증권자투자신탁제1호[주식]C-P2e,—,2021-03-24,∞,Y,미매칭,존재,키움 글로벌 코어밸류 증권 자투자신탁 제1호[주식] Class C-P2e(퇴직연금),일치(정규화),K55206DH9266,DH926,키움글로벌코어밸류증권자투자신탁제1호[주식]C-P2e(퇴직연금),일치(정규화),matched_marker,Y
펀드,KRZ50152114H,iM에셋월드광업주증권자투자신탁(주식-재간접형)(H)C-Rpe,—,2021-03-24,∞,Y,미매칭,존재,iM에셋 월드광업주 증권 자투자신탁(주식-재간접형)(H) 종류 (C-Rpe),일치(정규화),K55366BU9622,BU962,iM에셋월드광업주증권자투자신탁(주식-재간접형)(H)(C-Rpe),일치(정규화),matched_marker,Y
펀드,KRZ50145078J,한화천연자원증권자투자신탁[주식]P-E,—,2021-03-24,∞,Y,미매칭,존재,한화천연자원증권 자투자신탁(주식) P - E 클래스,일치(정규화),K55237BU5569,BU556,한화천연자원증권 자투자신탁(주식) P - E 클래스,일치(정규화),matched,
펀드,KRZ50115110E,우리중소형고배당증권자투자신탁1호(주식)C-Pe,—,2021-04-05,∞,Y,미매칭,존재,우리중소형고배당증권자투자신탁1호(주식)ClassC-Pe,일치(정규화),K55107BU0229,BU022,우리중소형고배당증권자투자신탁1호(주식)ClassC-Pe,일치(정규화),matched,
펀드,KRZ50220352H,KCGI글로벌성장기반증권자투자신탁[주식]C-Pe2,—,2021-06-04,∞,Y,미매칭,존재,KCGI글로벌성장기반증권자투자신탁[주식]종류C-Pe2,일치(정규화),K55365C12783,C1278,KCGI글로벌성장기반증권자투자신탁[주식]종류C-Pe2,일치(정규화),matched,
펀드,KRZ50136818M,한국투자월스트리트투자은행증권투자신탁1호[주식]C-Re,—,2021-06-04,∞,Y,미매칭,존재,한국투자월스트리트투자은행증권투자신탁1호(주식)(C-Re),일치(정규화),K55101D21708,D2170,한국투자월스트리트투자은행증권투자신탁1호(주식)(C-Re),일치(정규화),matched,
펀드,KRZ50222600G,미래에셋글로벌코어테크EMP증권자투자신탁(주식-재간접형)C-P2e,—,2021-09-13,∞,Y,미매칭,존재,미래에셋글로벌코어테크EMP증권자투자신탁(주식-재간접형) 종류C-P2e,일치(정규화),K55301C62544,C6254,미래에셋글로벌코어테크EMP증권자투자신탁(주식-재간접형) 종류C-P2e,일치(정규화),matched,
펀드,KRZ50247247D,삼성글로벌메타버스증권자투자신탁H[주식]Cpe,—,2021-09-17,∞,Y,미매칭,존재,삼성글로벌메타버스증권자투자신탁H[주식]_Cpe(퇴직연금),일치(정규화),K55105DK2748,DK274,삼성글로벌메타버스증권자투자신탁H[주식]_Cpe(퇴직연금),일치(정규화),matched,
펀드,KRZ50247259D,삼성글로벌메타버스증권자투자신탁UH[주식]Cpe,—,2021-09-17,∞,Y,미매칭,존재,삼성글로벌메타버스증권자투자신탁UH[주식]_Cpe(퇴직연금),일치(정규화),K55105DK2904,DK290,삼성글로벌메타버스증권자투자신탁UH[주식]_Cpe(퇴직연금),일치(정규화),matched,
펀드,KRZ50240446E,한국투자미국배당귀족증권자투자신탁H(주식)C-Re,—,2021-09-17,∞,Y,미매칭,존재,한국투자미국배당귀족증권자투자신탁H(주식)(C-Re),일치(정규화),K55101D20692,D2069,한국투자미국배당귀족증권자투자신탁H(주식)(C-Re),일치(정규화),matched,
